"Type","Incentive","Game","Description","Amount","Goal"
"1 - Bid option","McClane","zelda: ocarina of time","","$90.0","(None)"
"1 - Bid option","Awesome","zelda: ocarina of time","","$30.0","(None)"
"1 - Bid option","LISTEN!","zelda: ocarina of time","","$30.0","(None)"
"1 - Bid option","Bonemom","zelda: ocarina of time","","$15.0","(None)"
"1 - Bid option","Lunk","zelda: ocarina of time","","$10.0","(None)"
"0 - Donation Goal","Use the bottle against Ganondorf","zelda: ocarina of time","Runnerguy has offered to use the bottle in the fight vs. Ganondorf to reflect his attacks. Donate to make it happen!","$1,005.00","$1,000.00"
"0 - Bid War","Character","devil may cry 3","","$3,577.32","(None)"
"1 - Bid option","Dante","devil may cry 3","","$1,989.3","(None)"
"1 - Bid option","Vergil","devil may cry 3","","$1,588.0","(None)"
"0 - Bid War","Flicky takes his shirt off","devil may cry 3","","$135.00","(None)"
"1 - Bid option","Shirt off","devil may cry 3","","$80.0","(None)"
"1 - Bid option","Shirt on","devil may cry 3","","$55.0","(None)"
"0 - Donation Goal","Naked Ocelot unit","metal gear solid 3: snake eater","","$205.00","$200.00"
"0 - Donation Goal","Sing intro song","metal gear solid 3: snake eater","","$525.00","$500.00"
"0 - Donation Goal","Pokemon Yellow Save Corruption Run","pokemon gold","Ouch! Right in the childhood.","$350.00","$350.00"
"0 - Bid War","Rival Name","pokemon gold","7 Characters","$1,056.76","(None)"
"1 - Bid option","SMK","pokemon gold","","$549.3","(None)"
"1 - Bid option","Cancer","pokemon gold","","$422.3","(None)"
"1 - Bid option","Horror","pokemon gold","","$25.0","(None)"
"1 - Bid option","Spinner","pokemon gold","","$25.0","(None)"
"1 - Bid option","Wak","pokemon gold","","$20.0","(None)"
"1 - Bid option","Sagat","pokemon gold","","$10.0","(None)"
"1 - Bid option","Yanama","pokemon gold","","$5.0","(None)"
"0 - Bid War","Starter Name","pokemon gold","Totodile, 10 Characters","$1,949.52","(None)"
"1 - Bid option","A Shark","pokemon gold","","$1,642.3","(None)"
"1 - Bid option","BakuHaku (and two female symbols)","pokemon gold","","$275.0","(None)"
"1 - Bid option","YSG","pokemon gold","","$15.0","(None)"
"1 - Bid option","SourceRuns","pokemon gold","","$14.1","(None)"
"1 - Bid option","Gaben","pokemon gold","","$3.0","(None)"
"0 - Donation Goal","Rescue Luigi","super mario 3d land","Honestly, who even cares about princesses these days, plumbers is where it&#39;s at.","$200.00","$200.00"
"0 - Donation Goal","Siglemic plays 16 Star","super mario 64","Siglemic will play Super Mario 64 16 star before his 120 star run.","$5,315.02","$5,000.00"
"0 - Bid War","Filename","zelda: wind waker","8 Characters","$21,749.53","(None)"
"1 - Bid option","FrankerZ","zelda: wind waker","","$10,246.8","(None)"
"1 - Bid option","Mirrord&#39;s Choice","zelda: wind waker","","$9,378.4","(None)"
"1 - Bid option","aTASskip","zelda: wind waker","","$1,240.0","(None)"
"1 - Bid option","LilCosmo","zelda: wind waker","","$327.3","(None)"
"1 - Bid option","TARKUS","zelda: wind waker","","$165.0","(None)"
"1 - Bid option","OctoLink","zelda: wind waker","","$55.0","(None)"
"1 - Bid option","WooferZ","zelda: wind waker","","$54.8","(None)"
"1 - Bid option","francoZ","zelda: wind waker","","$51.0","(None)"
"1 - Bid option","eh","zelda: wind waker","","$50.0","(None)"
"1 - Bid option","Rarity","zelda: wind waker","","$50.0","(None)"
"1 - Bid option","LUNK","zelda: wind waker","","$35.0","(None)"
"1 - Bid option","Trohnics","zelda: wind waker","","$25.0","(None)"
"1 - Bid option","Banana","zelda: wind waker","","$20.6","(None)"
"1 - Bid option","XmasPoon","zelda: wind waker","","$15.0","(None)"
"1 - Bid option","Groomp","zelda: wind waker","","$10.0","(None)"
"1 - Bid option","Tupac","zelda: wind waker","","$10.0","(None)"
"1 - Bid option","Octodad","zelda: wind waker","","$5.0","(None)"
"1 - Bid option","Shaka","zelda: wind waker","","$5.0","(None)"
"1 - Bid option","Cosmo437","zelda: wind waker","","$4.3","(None)"
"1 - Bid option","Jvebo","zelda: wind waker","","$1.0","(None)"
"0 - Donation Goal","Reveal Mirrored&#39;s Choice","zelda: wind waker","","$3,237.93","$3,184.00"
"0 - Donation Goal","Whistle Mulgara&#39;s Theme","zelda: wind waker","","$627.00","$606.00"
"0 - Bid War","Best Final Fantasy","final fantasy ix part 2","Biggest Final Fantasy is best Final Fantasy","$10,086.08","(None)"
"1 - Bid option","Beef Jerky","final fantasy ix part 2","","$2,337.0","(None)"
"1 - Bid option","Die Hard","final fantasy ix part 2","","$2,183.0","(None)"
"1 - Bid option","FF IX","final fantasy ix part 2","","$571.0","(None)"
"1 - Bid option","FF Tactics","final fantasy ix part 2","","$490.9","(None)"
"1 - Bid option","The Box","final fantasy ix part 2","","$474.0","(None)"
"1 - Bid option","FF VIII","final fantasy ix part 2","","$330.0","(None)"
"1 - Bid option","FF X-2","final fantasy ix part 2","","$235.0","(None)"
"1 - Bid option","Demon Rush","final fantasy ix part 2","","$230.0","(None)"
"1 - Bid option","Super Mario RPG","final fantasy ix part 2","","$205.0","(None)"
"1 - Bid option","Dragonbox Z","final fantasy ix part 2","","$200.0","(None)"
"1 - Bid option","FF VI","final fantasy ix part 2","","$175.0","(None)"
"1 - Bid option","Arkanoid","final fantasy ix part 2","","$150.0","(None)"
"1 - Bid option","FF9","final fantasy ix part 2","","$150.0","(None)"
"1 - Bid option","F-Zero X","final fantasy ix part 2","","$140.0","(None)"
"1 - Bid option","TheatRhythm","final fantasy ix part 2","","$135.0","(None)"
"1 - Bid option","Skylight","final fantasy ix part 2","","$105.0","(None)"
"1 - Bid option","Barkley, Shut Up and Jam: Gaiden","final fantasy ix part 2","","$102.6","(None)"
"1 - Bid option","Ehrgeiz","final fantasy ix part 2","","$100.7","(None)"
"1 - Bid option","Xenogears Disc 2","final fantasy ix part 2","","$100.0","(None)"
"1 - Bid option","Chu Chu Rocket","final fantasy ix part 2","","$75.0","(None)"
"1 - Bid option","Chrono Trigger","final fantasy ix part 2","","$55.0","(None)"
"1 - Bid option","BlueGlass","final fantasy ix part 2","","$55.0","(None)"
"1 - Bid option","Pocky &amp; Rocky","final fantasy ix part 2","","$55.0","(None)"
"1 - Bid option","Cosmo","final fantasy ix part 2","","$52.0","(None)"
"1 - Bid option","Wayne Gretzky&#39;s 3D Hockey","final fantasy ix part 2","","$51.6","(None)"
"1 - Bid option","neskamikaze","final fantasy ix part 2","","$50.0","(None)"
"1 - Bid option","Caracarn","final fantasy ix part 2","","$50.0","(None)"
"1 - Bid option","I wanna be the guy","final fantasy ix part 2","","$50.0","(None)"
"1 - Bid option","Luna","final fantasy ix part 2","","$50.0","(None)"
"1 - Bid option","Metroid Fusion","final fantasy ix part 2","","$50.0","(None)"
"1 - Bid option","Mirrored","final fantasy ix part 2","","$50.0","(None)"
"1 - Bid option","Lost Odyssey","final fantasy ix part 2","","$48.9","(None)"
"1 - Bid option","Labyrinth of Touhou","final fantasy ix part 2","","$40.0","(None)"
"1 - Bid option","Lawnmower Man","final fantasy ix part 2","","$35.0","(None)"
"1 - Bid option","Mystic Quest","final fantasy ix part 2","","$35.0","(None)"
"1 - Bid option","FF I","final fantasy ix part 2","","$32.1","(None)"
"1 - Bid option","The Final Fantasy Adventure","final fantasy ix part 2","","$32.0","(None)"
"1 - Bid option","SpikeVegeta","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","Beer Pong","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","Deer Hunter","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","E.T. for Atari","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","Halo","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","Metroid Prime","final fantasy ix part 2","","$30.0"," (None)"
"1 - Bid option","Rainbow Dash","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","Sonic 2006","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","The Final Fantasy XXVII","final fantasy ix part 2","","$30.0","(None)"
"1 - Bid option","Grandia","final fantasy ix part 2","","$25.0","(None)"
"1 - Bid option","Pong","final fantasy ix part 2","","$25.0","(None)"
"1 - Bid option","Speed Demos Archive","final fantasy ix part 2","","$25.0","(None)"
"1 - Bid option","The Bouncer","final fantasy ix part 2","","$25.0","(None)"
"1 - Bid option","Dungeons and Dragons","final fantasy ix part 2","","$20.0","(None)"
"1 - Bid option","Kingdom Hearts","final fantasy ix part 2","","$20.0","(None)"
"1 - Bid option","Thousand Arms","final fantasy ix part 2","","$20.0","(None)"
"1 - Bid option","Aquaria","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Castlevania:Bloodlines","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Chrono Cross","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Earnest Evans","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Johnny Depp","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Persona 4","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Timecop","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Virtua Quest","final fantasy ix part 2","","$15.0","(None)"
"1 - Bid option","Legend of Mana","final fantasy ix part 2","","$11.0","(None)"
"1 - Bid option","skypatrol","final fantasy ix part 2","","$10.6","(None)"
"1 - Bid option","Bad Rats: The Rats&#39; Revenge","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Bill Laimbeer&#39;s Combat Basketball","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Black Ops 2","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Contra Force","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Dragon Quest","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Echo the Dolphin","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Final Fantasy Tactics Advance","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","GrimGrimoire","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Guilty Gear","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Madden &#39;95","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Minesweeper","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Quest 64","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Rogue Galaxy","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Sagat","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Solitaire","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Super Metroid Animals","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Tales of Symphonia","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","The Final Fantasy Legend","final fantasy ix part 2","","$10.0","(None)"
"1 - Bid option","Aftermath and Yoko","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Castlevania 4&#39;s Soundtrack","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","FF 13","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","FunkDoc","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Ghost Dad","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Goof Troop","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Hans Gruber","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Legend of Dragoon","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Not FFX","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","Super Caesars Palace","final fantasy ix part 2","","$5.0","(None)"
"1 - Bid option","FF Legend II","final fantasy ix part 2","","$1.0","(None)"
"1 - Bid option","Front Mission 5","final fantasy ix part 2","","$1.0","(None)"
"1 - Bid option","Pony Fantasy 6","final fantasy ix part 2","","$1.0","(None)"
"1 - Bid option","Chess","final fantasy ix part 2","","$0.1","(None)"
"1 - Bid option","Not FF9","final fantasy ix part 2","","$0.0","(None)"
"0 - Donation Goal","Mike/Vegeta Singing","final fantasy ix part 2","During Disc 4 of Final Fantasy IX, Mike Uyama and SpikeVegeta will sing the main theme song.","$5,112.68","$5,000.00"
"0 - Bid War","Weapon to be used in Final Fantasy IX","final fantasy ix part 2","","$1,150.00","(None)"
"1 - Bid option","Tower","final fantasy ix part 2","","$790.0","(None)"
"1 - Bid option","Orichalcun","final fantasy ix part 2","","$360.0","(None)"
"0 - Bid War","Who Plays Card Game","final fantasy ix part 2","Who will play the card game during FFIX Disc 2? Will it be Rane of SOTN, the tetra master, or SpikeVegeta, the tetra apprentice? If Rane wins, the card game will be a simple hurdle, but if Spike wins, Rane will sit behind him constantly judging his every move.","$580.54","(None)"
"1 - Bid option","SpikeVegeta","final fantasy ix part 2","","$492.7","(None)"
"1 - Bid option","Rane of SOTN","final fantasy ix part 2","","$87.7","(None)"
"0 - Donation Goal","Die Hard","Bonus Games","By KirkQ, World Record attempt","$122.00","$100.00"
"0 - Donation Goal","Die Hardest - RACE","Bonus Games","Withhelde vs Cosmo","$2,014.31","$2,000.00"
"0 - Donation Goal","Die Hard - Second Try","Bonus Games","","$250.00","$250.00"
"0 - Donation Goal","Skyrim","Bonus Games","By Chrno","$1,679.50","$1,500.00"
"0 - Donation Goal","SMW any%","Bonus Games","dram55!","$10,070.07","$10,000.00"
