"Type","Incentive","Game","Description","Amount","Goal"
"0 - Bid War","Mega Man 9 vs Mega Man 10","mega man 9 (superhero mode) or 10","Mega Man 9 in Superhero mode","$1,704.50","(None)"
"1 - Bid option","Mega Man 10","mega man 9 (superhero mode) or 10","","$1,057.0","(None)"
"1 - Bid option","Mega Man 9","mega man 9 (superhero mode) or 10","","$647.5","(None)"
"0 - Donation Goal","Jinny&#39;s Gangnam Style Dance","mega man x","","$497.50","$250.00"
"0 - Donation Goal","Shirtless Caleb Tri-Hex arm wrestle","mega man x","","$623.21","$600.00"
"0 - Donation Goal","Hard Mode","castlevania: aria of sorrow","","$37.00","$250.00"
"0 - Donation Goal","Julius Boss Rush","castlevania: aria of sorrow","","$150.00","$150.00"
"0 - Bid War","Character","castlevania: dawn of sorrow","","$1,151.83","(None)"
"1 - Bid option","Julius","castlevania: dawn of sorrow","","$587.3","(None)"
"1 - Bid option","Soma","castlevania: dawn of sorrow","","$564.5","(None)"
"0 - Bid War","Character","castlevania: symphony of the night","","$1,890.32","(None)"
"1 - Bid option","Maria","castlevania: symphony of the night","","$1,466.3","(None)"
"1 - Bid option","Richter","castlevania: symphony of the night","","$259.0","(None)"
"1 - Bid option","Alucard","castlevania: symphony of the night","","$165.0","(None)"
"0 - Bid War","Pacifist vs Race","ninja gaiden (nes)","Needs to raise $500 total between both options to apply.","$2,443.26","(None)"
"1 - Bid option","Pacifist","ninja gaiden (nes)","","$1,347.0","(None)"
"1 - Bid option","Race vs Duckfist","ninja gaiden (nes)","","$1,096.2","(None)"
"0 - Donation Goal","No Pickups","ninja gaiden 3","No pickups (except 1-ups). Can still use one Windmill shot per Act/life.","$520.00","$500.00"
"0 - Donation Goal","Good Ending","gimmick!","","$225.00","$200.00"
"0 - Donation Goal","Sewer Skip","blaster master","","$200.00","$200.00"
"0 - Donation Goal","Race","batman (nes)","Have sinister1 challenge funkdoc to a race","$579.69","$300.00"
"0 - Bid War","Costume","batman: arkham city","https://www.dropbox.com/s/y7qzrlyhsn7f1i2/batmen.jpg","$167.00","(None)"
"1 - Bid option","Batman Beyond","batman: arkham city","","$70.0","(None)"
"1 - Bid option","The Animated Series","batman: arkham city","","$45.0","(None)"
"1 - Bid option","1970s","batman: arkham city","","$27.0","(None)"
"1 - Bid option","Sinestro Corps","batman: arkham city","","$25.0","(None)"
"1 - Bid option","Arkham City Batsuit","batman: arkham city","","$0.0","(None)"
"1 - Bid option","Batman Inc.","batman: arkham city","","$0.0","(None)"
"1 - Bid option","Earth One","batman: arkham city","","$0.0","(None)"
"1 - Bid option","The Dark Knight Returns","batman: arkham city","","$0.0","(None)"
"1 - Bid option","Year One","batman: arkham city","","$0.0","(None)"
"0 - Donation Goal","Sidequests","batman: arkham city","For every $200 another sidequest is added to the run in the following order:","$1,898.48","$1,000.00"
"0 - Donation Goal","SpikeVegeta Act Mr. Freeze","batman: arkham city","SpikeVegeta is a great actor.","$135.00","$500.00"
"0 - Bid War","Suit","metroid prime","","$160.00","(None)"
"1 - Bid option","Fusion Suit","metroid prime","","$135.0","(None)"
"1 - Bid option","Regular Suit","metroid prime","","$25.0","(None)"
"0 - Donation Goal","Kill Boost Guardian","metroid prime 2","","$135.00","$100.00"
"0 - Bid War","Costume","god of war 2","","$50.00","(None)"
"1 - Bid option","Cod of War","god of war 2","","$50.0","(None)"
"1 - Bid option","Athena","god of war 2","","$0.0","(None)"
"1 - Bid option","Dark Odyssey","god of war 2","","$0.0","(None)"
"1 - Bid option","General Kratos","god of war 2","","$0.0","(None)"
"1 - Bid option","God of War Armour","god of war 2","","$0.0","(None)"
"1 - Bid option","Hercules","god of war 2","","$0.0","(None)"
"1 - Bid option","Hydra Armour","god of war 2","","$0.0","(None)"
"1 - Bid option","Regular Kratos","god of war 2","","$0.0","(None)"
"0 - Bid War","Dog","earthbound","6 Characters","$150.81","(None)"
"1 - Bid option","FrankerZ","earthbound","","$105.0","(None)"
"1 - Bid option","zoee","earthbound","","$40.0","(None)"
"1 - Bid option","Idefix","earthbound","","$5.8","(None)"
"0 - Bid War","Favorite Food","earthbound","6 Characters","$367.50","(None)"
"1 - Bid option","YOL-Os","earthbound","","$247.5","(None)"
"1 - Bid option","Cats","earthbound","","$100.0","(None)"
"1 - Bid option","Huzzah","earthbound","","$15.0","(None)"
"1 - Bid option","Lunk","earthbound","","$5.0","(None)"
"0 - Bid War","Favorite Thing","earthbound","6 Characters","$638.71","(None)"
"1 - Bid option","Ponies","earthbound","","$333.0","(None)"
"1 - Bid option","Mangos","earthbound","","$169.4","(None)"
"1 - Bid option","Duck","earthbound","","$50.0","(None)"
"1 - Bid option","chipin","earthbound","","$35.0","(None)"
"1 - Bid option","SDA","earthbound","","$35.0","(None)"
"1 - Bid option","Alpaco","earthbound","","$10.0","(None)"
"1 - Bid option","Booty","earthbound","","$5.0","(None)"
"1 - Bid option","TehUrn","earthbound","","$1.2","(None)"
"0 - Bid War","Filename","earthbound","24 Characters","$601.00","(None)"
"1 - Bid option","GrouchyHotdogfiend","earthbound","","$311.0","(None)"
"1 - Bid option","Zable Fahr","earthbound","","$270.0","(None)"
"1 - Bid option","CalgaryFlamesSuck","earthbound","","$10.0","(None)"
"1 - Bid option","MrEmptyPants","earthbound","","$10.0","(None)"
"0 - Bid War","Flavor","earthbound","","$80.00","(None)"
"1 - Bid option","Peanut","earthbound","","$50.0","(None)"
"1 - Bid option","Mint","earthbound","","$30.0","(None)"
