"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","gogglor scene","psychonauts","","$100.00","$100.00"
"0 - Donation Goal","levitation children fire scene","psychonauts","","$100.00","$100.00"
"0 - Donation Goal","milkman scene","psychonauts","","$120.00","$100.00"
"0 - Donation Goal","fusion dance","super mario world 2: yoshi&#39;s island","","$335.42","$300.00"
"0 - Donation Goal","shirtless tri-hex","super mario world 2: yoshi&#39;s island","","$333.37","$315.33"
"0 - Bid War","yoshi colour","yoshi&#39;s story","","$50.00","(None)"
"1 - Bid option","yellow","yoshi&#39;s story","","$45.0","(None)"
"1 - Bid option","dark blue","yoshi&#39;s story","","$5.0","(None)"
"1 - Bid option","green","yoshi&#39;s story","","$0.0","(None)"
"1 - Bid option","light blue","yoshi&#39;s story","","$0.0","(None)"
"1 - Bid option","pink","yoshi&#39;s story","","$0.0","(None)"
"1 - Bid option","red","yoshi&#39;s story","","$0.0","(None)"
"0 - Bid War","vanquish language","vanquish","","$65.53","(None)"
"1 - Bid option","japanese","vanquish","","$40.0","(None)"
"1 - Bid option","french","vanquish","","$25.5","(None)"
"1 - Bid option","english","vanquish","","$0.0","(None)"
"1 - Bid option","german","vanquish","","$0.0","(None)"
"1 - Bid option","italian","vanquish","","$0.0","(None)"
"1 - Bid option","spanish","vanquish","","$0.0","(None)"
"0 - Donation Goal","psycho mantis cutscene&#39;","metal gear solid: the twin snakes","","$59.45","$30.00"
"0 - Donation Goal","shirtless caleb","metal gear solid: the twin snakes","","$35.00","$250.00"
"0 - Donation Goal","krauser cutscene voiceover","resident evil 4","","$50.00","$35.00"
"0 - Donation Goal","right hand cutscene","resident evil 4","","$25.00","$25.00"
"0 - Donation Goal","suplex ashley","resident evil 4","","$50.00","$50.00"
"0 - Bid War","chris vs. jill","remake","","$390.00","(None)"
"1 - Bid option","jill","remake","","$231.0","(None)"
"1 - Bid option","chris","remake","","$159.0","(None)"
"0 - Donation Goal","knife tyrant","remake","","$215.00","$200.00"
"0 - Donation Goal","shark","remake","","$125.00","$100.00"
"0 - Bid War","gene costume","god hand","","$71.01","(None)"
"1 - Bid option","carnival","god hand","","$36.0","(None)"
"1 - Bid option","karate","god hand","","$35.0","(None)"
"1 - Bid option","devil hand","god hand","","$0.0","(None)"
"1 - Bid option","normal","god hand","","$0.0","(None)"
"0 - Donation Goal","hard mode","god hand","","$506.12","$500.00"
"0 - Bid War","olivia costume","god hand","","$20.00","(None)"
"1 - Bid option","bunny","god hand","","$20.0","(None)"
"1 - Bid option","normal","god hand","","$0.0","(None)"
"0 - Bid War","toejam vs earl","toejam and earl","","$35.00","(None)"
"1 - Bid option","toejam","toejam and earl","","$20.0","(None)"
"1 - Bid option","earl","toejam and earl","","$15.0","(None)"
"0 - Donation Goal","sword only","ninja gaiden (nes)","","$296.00","$250.00"
"0 - Bid War","tmnt character (top two)","tmnt iv: turtles in time","","$250.00","(None)"
"1 - Bid option","michaelangelo","tmnt iv: turtles in time","","$100.0","(None)"
"1 - Bid option","raphael","tmnt iv: turtles in time","","$75.0","(None)"
