"Type","Incentive","Game","Description","Amount","Goal"
"1 - Bid option","leonardo","tmnt iv: turtles in time","","$55.0","(None)"
"1 - Bid option","donatello","tmnt iv: turtles in time","","$20.0","(None)"
"0 - Bid War","blindfold run","battletoads","","$10.00","(None)"
"0 - Bid War","partner","sonic 2","","$366.00","(None)"
"1 - Bid option","tri-hex (shirtless)","sonic 2","","$140.0","(None)"
"1 - Bid option","samm","sonic 2","","$131.0","(None)"
"1 - Bid option","breakdown","sonic 2","","$40.0","(None)"
"1 - Bid option","kari","sonic 2","","$30.0","(None)"
"1 - Bid option","smk","sonic 2","","$25.0","(None)"
"0 - Donation Goal","play sonic spinball","sonic 3 &amp; knuckles","Make SMK cry!","$220.00","$200.00"
"0 - Donation Goal","sandopolis 2 with no lights","sonic 3 &amp; knuckles","","$140.00","$100.00"
"0 - Bid War","sonic3 character","sonic 3 &amp; knuckles","","$503.00","(None)"
"1 - Bid option","tails","sonic 3 &amp; knuckles","","$323.0","(None)"
"1 - Bid option","sonic","sonic 3 &amp; knuckles","","$172.0","(None)"
"1 - Bid option","knuckles","sonic 3 &amp; knuckles","","$8.0","(None)"
"0 - Donation Goal","last story","sonic adventure 2","","$205.00","$200.00"
"0 - Bid War","story","sonic adventure 2","","$480.00","(None)"
"1 - Bid option","dark","sonic adventure 2","","$252.9","(None)"
"1 - Bid option","hero","sonic adventure 2","","$227.0","(None)"
"0 - Donation Goal","difficult mode","mega man 2","","$150.00","$100.00"
"0 - Donation Goal","mega man 9 buster only","mega man 3","We will add this to the schedule if this goal is reached.","$415.00","$300.00"
"0 - Bid War","mm10 character","mega man 10","","$1,551.00","(None)"
"1 - Bid option","mega man","mega man 10","","$1,001.0","(None)"
"1 - Bid option","bass","mega man 10","","$550.0","(None)"
"0 - Bid War","low% vs 100%","mega man x","","$525.33","(None)"
"1 - Bid option","100%","mega man x","","$382.0","(None)"
"1 - Bid option","low%","mega man x","","$143.3","(None)"
"0 - Bid War","which pronunciation of crystalis","lagoon","","$15.00","(None)"
"1 - Bid option","dragondarch&#39;s","lagoon","","$10.0","(None)"
"1 - Bid option","pj&#39;s","lagoon","","$5.0","(None)"
"0 - Donation Goal","multiplayer","bubsy 3d","","$170.50","$100.00"
"0 - Donation Goal","mike plays sub terrania","bad street brawler","","$681.38","$666.00"
"0 - Donation Goal","good ending","bubble bobble","","$150.01","$150.00"
"0 - Bid War","resq character","rescue rangers","","$10.00","(None)"
"1 - Bid option","dale","rescue rangers","","$10.0","(None)"
"1 - Bid option","chip","rescue rangers","","$0.0","(None)"
"0 - Donation Goal","grenadeless bosses (except 4/7)","blaster master","Killing most bosses without using grenade damage. 4/7 will be killed as normal, since it takes too long otherwise.","$210.00","$200.00"
"0 - Donation Goal","blindfold","mike tyson&#39;s punch-out","","$410.00","$300.00"
"0 - Donation Goal","secret levels ($50 per)","quake","","$200.00","$200.00"
"0 - Donation Goal","giant rat easter egg","mirror&#39;s edge","","$100.00","$100.00"
"0 - Donation Goal","meat boy all levels ($10 per)","super meat boy","There are 75 secret level total.","$792.00","$750.00"
"0 - Bid War","mario game choice","super mario world/lost levels","","$500.50","(None)"
"1 - Bid option","super mario world","super mario world/lost levels","","$313.5","(None)"
"1 - Bid option","lost levels","super mario world/lost levels","","$187.0","(None)"
"0 - Bid War","kuriboh&#39;s shoe","super mario bros. 3","","$60.00","(None)"
"0 - Donation Goal","small mario only (mostly)","super mario bros. 3","6-5, 7-F1, and 8-F will require powerups.","$650.00","$500.00"
"0 - Bid War","opening cutscene","devil may cry","","$20.00","(None)"
"0 - Donation Goal","_the_ cutscene","devil may cry","","$280.00","$200.00"
"0 - Bid War","helper","castlevania iii","","$1,271.00","(None)"
"1 - Bid option","alucard","castlevania iii","","$675.0","(None)"
"1 - Bid option","sypha","castlevania iii","","$586.0","(None)"
"1 - Bid option","grant","castlevania iii","","$10.0","(None)"
"1 - Bid option","trevor only","castlevania iii","","$0.0","(None)"
"0 - Bid War","sunken city","castlevania iii","","$55.00","(None)"
"0 - Donation Goal","1 controller, 2 people co-op","contra iii","","$625.00","$500.00"
"0 - Donation Goal","add dkc2 any% to the schedule (already played, thanks a lot)","final fantasy vii part 2","","$534.11","$500.00"
"0 - Bid War","aeris name","final fantasy vii part 1","9 Character Limit","$905.01","(None)"
"1 - Bid option","brooks","final fantasy vii part 1","","$275.0","(None)"
"1 - Bid option","sheath","final fantasy vii part 1","","$270.0","(None)"
"1 - Bid option","sephiroth","final fantasy vii part 1","","$260.0","(None)"
"1 - Bid option","oglop","final fantasy vii part 1","","$85.0","(None)"
"1 - Bid option","lightning","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","castiel","final fantasy vii part 1","","$5.0","(None)"
"0 - Bid War","alttp file name (4 character limit)","zelda: a link to the past","","$1,622.01","(None)"
"1 - Bid option","wak","zelda: a link to the past","","$912.0","(None)"
"1 - Bid option","lunk","zelda: a link to the past","","$580.0","(None)"
"1 - Bid option","hppo","zelda: a link to the past","","$80.0","(None)"
"1 - Bid option","rane","zelda: a link to the past","","$40.0","(None)"
"1 - Bid option","zeld","zelda: a link to the past","","$10.0","(None)"
"0 - Bid War","any% vs all bosses","castlevania: aria of sorrow","","$45.00","(None)"
"1 - Bid option","all bosses","castlevania: aria of sorrow","","$45.0","(None)"
"1 - Bid option","any%","castlevania: aria of sorrow","","$0.0","(None)"
"0 - Bid War","barret name","final fantasy vii part 1","9 Character Limit","$949.95","(None)"
"1 - Bid option","old bobby","final fantasy vii part 1","","$889.9","(None)"
"1 - Bid option","mr. t","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","grrrrr","final fantasy vii part 1","","$10.0","(None)"
"0 - Bid War","best final fantasy game","final fantasy vii part 1","Help us determine the best Final Fantasy game.","$6,199.46","(None)"
"1 - Bid option","ff6","final fantasy vii part 1","","$1,239.9","(None)"
"1 - Bid option","none","final fantasy vii part 1","","$1,110.0","(None)"
"1 - Bid option","ff9","final fantasy vii part 1","","$545.7","(None)"
"1 - Bid option","ff5","final fantasy vii part 1","","$490.5","(None)"
"1 - Bid option","ff7","final fantasy vii part 1","","$484.6","(None)"
"1 - Bid option","tactics","final fantasy vii part 1","","$329.9","(None)"
"1 - Bid option","ff8","final fantasy vii part 1","","$219.0","(None)"
"1 - Bid option","mystic quest","final fantasy vii part 1","","$204.5","(None)"
"1 - Bid option","ff4","final fantasy vii part 1","","$156.2","(None)"
"1 - Bid option","quest 64","final fantasy vii part 1","","$125.0","(None)"
"1 - Bid option","ff13","final fantasy vii part 1","","$120.0","(None)"
"1 - Bid option","ffx","final fantasy vii part 1","","$112.0","(None)"
"1 - Bid option","ffx2","final fantasy vii part 1","","$110.0","(None)"
"1 - Bid option","ff11","final fantasy vii part 1","","$100.0","(None)"
"1 - Bid option","crystal chronicles","final fantasy vii part 1","","$61.0","(None)"
"1 - Bid option","golden sun","final fantasy vii part 1","","$57.5","(None)"
"1 - Bid option","ff12","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","ff4 ds","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","fluttershy","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","rainbow dash","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","dirge of cerberus","final fantasy vii part 1","","$45.0","(None)"
"1 - Bid option","all","final fantasy vii part 1","","$40.0","(None)"
"1 - Bid option","ffta","final fantasy vii part 1","","$32.5","(None)"
"1 - Bid option","ff1","final fantasy vii part 1","","$31.8","(None)"
"1 - Bid option","blitzball","final fantasy vii part 1","","$30.0","(None)"
"1 - Bid option","earthbound","final fantasy vii part 1","","$30.0","(None)"
"1 - Bid option","half-life","final fantasy vii part 1","","$30.0","(None)"
"1 - Bid option","phantasy star 4","final fantasy vii part 1","","$25.0","(None)"
"1 - Bid option","the final fantasy legend","final fantasy vii part 1","","$25.0","(None)"
"1 - Bid option","spirits within","final fantasy vii part 1","","$21.0","(None)"
"1 - Bid option","1994 anime","final fantasy vii part 1","","$20.0","(None)"
"1 - Bid option","chocobo world","final fantasy vii part 1","","$20.0","(None)"
"1 - Bid option","ff3","final fantasy vii part 1","","$20.0","(None)"
"1 - Bid option","kingdom hearts","final fantasy vii part 1","","$20.0","(None)"
"1 - Bid option","dissidia","final fantasy vii part 1","","$15.0","(None)"
"1 - Bid option","drew carey show","final fantasy vii part 1","","$15.0","(None)"
"1 - Bid option","ff14","final fantasy vii part 1","","$15.0","(None)"
"1 - Bid option","chocobo_dungeon","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","ehrgeiz","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","ff:cc:my life as a king","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","lagoon","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","lufia 2","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","chocobo racing","final fantasy vii part 1","","$6.0","(None)"
"1 - Bid option","ff2","final fantasy vii part 1","","$6.0","(None)"
"1 - Bid option","charles barkley: shut up and jam","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","chrono trigger","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","dissidia 012","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","ff13-2","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","legend of dragoon","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","shaq fu","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","smk","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","neskamikaze","final fantasy vii part 1","","$1.0","(None)"
"0 - Donation Goal","bonus stars ($50 per)","super mario galaxy","1-Dreadnought&#39;s Colossal Cannons","$175.00","$150.00"
"0 - Bid War","cait sith name","final fantasy vii part 1","9 Character Limit","$918.09","(None)"
"1 - Bid option","esports","final fantasy vii part 1","","$283.5","(None)"
"1 - Bid option","theyetee","final fantasy vii part 1","","$225.0","(None)"
"1 - Bid option","lolcat","final fantasy vii part 1","","$120.0","(None)"
"1 - Bid option","snacky","final fantasy vii part 1","","$100.0","(None)"
"1 - Bid option","jigglypuf","final fantasy vii part 1","","$100.0","(None)"
"1 - Bid option","jangofett","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","flicky","final fantasy vii part 1","","$19.5","(None)"
"1 - Bid option","poxnor","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","testper","final fantasy vii part 1","","$10.0","(None)"
"0 - Bid War","cid name","final fantasy vii part 1","9 Character Limit","$1,004.76","(None)"
"1 - Bid option","earlgrey","final fantasy vii part 1","","$448.2","(None)"
"1 - Bid option","pinkiepie","final fantasy vii part 1","","$378.1","(None)"
"1 - Bid option","notapony","final fantasy vii part 1","","$133.3","(None)"
"1 - Bid option","(asciichar)tea","final fantasy vii part 1","","$20.0","(None)"
"1 - Bid option","the old man","final fantasy vii part 1","","$15.0","(None)"
"1 - Bid option","rarity","final fantasy vii part 1","","$10.0","(None)"
"0 - Bid War","cloud name","final fantasy vii part 1","9 Character Limit","$644.35","(None)"
"1 - Bid option","arthur","final fantasy vii part 1","","$300.0","(None)"
"1 - Bid option","ranecloud","final fantasy vii part 1","","$145.0","(None)"
"1 - Bid option","rane","final fantasy vii part 1","","$120.0","(None)"
"1 - Bid option","waahh","final fantasy vii part 1","","$53.3","(None)"
"1 - Bid option","clod","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","goober","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","kefka","final fantasy vii part 1","","$6.0","(None)"
"0 - Donation Goal","comix zone","final fantasy vii part 2","","$105.00","$100.00"
"0 - Bid War","contra low% vs any% coop with hurblat","contra","","$55.00","(None)"
"1 - Bid option","any% coop with hurblat","contra","","$50.0","(None)"
"1 - Bid option","low%","contra","","$5.0","(None)"
"0 - Bid War","demon souls character name (16 character limit)","demon&#39;s souls","","$171.00","(None)"
"1 - Bid option","kickpuncher","demon&#39;s souls","","$56.0","(None)"
"1 - Bid option","nevermore","demon&#39;s souls","","$50.0","(None)"
"1 - Bid option","pikapikapikapoop","demon&#39;s souls","","$50.0","(None)"
"1 - Bid option","cocktail","demon&#39;s souls","","$10.0","(None)"
"1 - Bid option","slipomatic","demon&#39;s souls","","$5.0","(None)"
"0 - Bid War","dog name","earthbound","6 Character Limit","$112.01","(None)"
"1 - Bid option","lunk","earthbound","","$62.0","(None)"
"1 - Bid option","cat","earthbound","","$30.0","(None)"
"1 - Bid option","boney","earthbound","","$20.0","(None)"
"0 - Bid War","earthbound player name","earthbound","24 Character Limit","$465.00","(None)"
"1 - Bid option","davis","earthbound","","$205.0","(None)"
"1 - Bid option","starbucks cares","earthbound","","$200.0","(None)"
"1 - Bid option","lucas","earthbound","","$50.0","(None)"
"1 - Bid option","hope","earthbound","","$10.0","(None)"
"0 - Donation Goal","eat pizza while playing","super monkey ball","","$225.00","$200.00"
"0 - Bid War","favorite food name","earthbound","6 Character Limit","$90.69","(None)"
"1 - Bid option","bacon","earthbound","","$50.0","(None)"
"1 - Bid option","cancer","earthbound","","$35.6","(None)"
"1 - Bid option","chikin","earthbound","","$5.0","(None)"
"0 - Bid War","favorite thing name","earthbound","6 Character Limit","$496.21","(None)"
"1 - Bid option","potato","earthbound","","$219.1","(None)"
"1 - Bid option","sda","earthbound","","$185.0","(None)"
"1 - Bid option","legos (all caps)","earthbound","","$22.0","(None)"
"1 - Bid option","sdt5k (all caps)","earthbound","","$20.0","(None)"
"1 - Bid option","tas (all caps)","earthbound","","$15.0","(None)"
"1 - Bid option","fart","earthbound","","$10.6","(None)"
"1 - Bid option","crow","earthbound","","$10.0","(None)"
"1 - Bid option","lamp","earthbound","","$7.7","(None)"
"1 - Bid option","duck","earthbound","","$6.6","(None)"
"0 - Bid War","final attack","final fantasy vii part 2","","$72.00","(None)"
"1 - Bid option","omnislash","final fantasy vii part 2","","$55.0","(None)"
"1 - Bid option","counter-hit","final fantasy vii part 2","","$17.0","(None)"
"0 - Bid War","gb zelda file name (5 character limit)","zelda: oracle of seasons/link&#39;s awakening dx","","$950.00","(None)"
"1 - Bid option","tlrlhs","zelda: oracle of seasons/link&#39;s awakening dx","","$555.0","(None)"
"1 - Bid option","lunk","zelda: oracle of seasons/link&#39;s awakening dx","","$340.0","(None)"
"1 - Bid option","dude","zelda: oracle of seasons/link&#39;s awakening dx","","$30.0","(None)"
"1 - Bid option","arvar","zelda: oracle of seasons/link&#39;s awakening dx","","$25.0","(None)"
"0 - Donation Goal","get flip potion","prince of persia","","$50.00","$50.00"
"0 - Bid War","gold saucer date","final fantasy vii part 1","","$330.00","(None)"
"1 - Bid option","barret","final fantasy vii part 1","","$222.0","(None)"
"1 - Bid option","tifa","final fantasy vii part 1","","$108.0","(None)"
"1 - Bid option","aeris","final fantasy vii part 1","","$0.0","(None)"
"0 - Donation Goal","gold saucer mini game","final fantasy vii part 1","","$10.00","$300.00"
"0 - Bid War","jeff name","earthbound","5 Character Limit","$238.95","(None)"
"1 - Bid option","dfish","earthbound","","$200.0","(None)"
"1 - Bid option","duster","earthbound","","$30.0","(None)"
"1 - Bid option","guam","earthbound","","$8.9","(None)"
"0 - Donation Goal","kill the lady","demon&#39;s souls","At 200, we kill the lady, at 300, we show off a cool glitch.","$0.00","$300.00"
"0 - Bid War","majora file name (8 character limit)","zelda: majora&#39;s mask","","$583.10","(None)"
"1 - Bid option","lunk","zelda: majora&#39;s mask","","$305.0","(None)"
"1 - Bid option","skullkid","zelda: majora&#39;s mask","","$135.0","(None)"
"1 - Bid option","bob ross","zelda: majora&#39;s mask","","$105.0","(None)"
"1 - Bid option","895","zelda: majora&#39;s mask","","$25.0","(None)"
"1 - Bid option","ben","zelda: majora&#39;s mask","","$13.0","(None)"
"0 - Donation Goal","master levels","super monkey ball","","$537.00","$250.00"
"0 - Bid War","metal slug 3 character","metal slug 3","","$566.00","(None)"
"1 - Bid option","eri","metal slug 3","","$300.0","(None)"
"1 - Bid option","marco","metal slug 3","","$245.0","(None)"
"1 - Bid option","fio","metal slug 3","","$21.0","(None)"
"1 - Bid option","tarma","metal slug 3","","$0.0","(None)"
"0 - Bid War","metal slug x character","metal slug x","","$305.00","(None)"
"1 - Bid option","fio","metal slug x","","$305.0","(None)"
"1 - Bid option","eri","metal slug x","","$0.0","(None)"
"1 - Bid option","marco","metal slug x","","$0.0","(None)"
"1 - Bid option","tarma","metal slug x","","$0.0","(None)"
"0 - Bid War","mvp","magicka","","$85.77","(None)"
"1 - Bid option","romscout","magicka","","$46.0","(None)"
"1 - Bid option","lag.com","magicka","","$20.0","(None)"
"1 - Bid option","moooh","magicka","","$18.7","(None)"
"1 - Bid option","twitch tv","magicka","","$1.0","(None)"
"1 - Bid option","fireball","magicka","","$0.0","(None)"
"1 - Bid option","shadowwraith","magicka","","$0.0","(None)"
"0 - Donation Goal","naegleria head shaving","final fantasy vii part 2","","$337.34","$2,000.00"
"0 - Donation Goal","neskamikaze shirtless","tony hawk&#39;s pro skater 2","$250- girly shirt, $500- shirtless, $1000- shirtless+backfilp","$130.00","$1,000.00"
"0 - Bid War","ness name","earthbound","5 Character Limit","$281.11","(None)"
"1 - Bid option","rane","earthbound","","$140.0","(None)"
"1 - Bid option","pinkie","earthbound","","$55.0","(None)"
"1 - Bid option","quote","earthbound","","$35.0","(None)"
"1 - Bid option","pookie","earthbound","","$30.0","(None)"
"1 - Bid option","lucas","earthbound","","$11.1","(None)"
"1 - Bid option","ippy","earthbound","","$10.0","(None)"
"1 - Bid option","cancer","earthbound","","$0.0","(None)"
"1 - Bid option","money","earthbound","","$0.0","(None)"
"0 - Donation Goal","one winged angel live chorus","final fantasy vii part 2","","$526.00","$500.00"
"0 - Bid War","oot file name (8 character limit)","zelda: ocarina of time","navigatr option should be spelled NAViGaTR","$477.16","(None)"
"1 - Bid option","lunk","zelda: ocarina of time","","$324.1","(None)"
"1 - Bid option","navigatr (see comment)","zelda: ocarina of time","","$133.0","(None)"
"1 - Bid option","bobross2","zelda: ocarina of time","","$10.0","(None)"
"1 - Bid option","horse (all caps)","zelda: ocarina of time","","$5.0","(None)"
"1 - Bid option","papajohn","zelda: ocarina of time","","$5.0","(None)"
"0 - Donation Goal","pacifist","iji","","$177.49","$150.00"
"0 - Donation Goal","pacifist cathedral","serious sam: the second encounter","Final level, Grand Cathedral completed without killing any enemy (includes not killing the end boss)","$210.00","$100.00"
"0 - Bid War","paula name","earthbound","5 Character Limit","$302.00","(None)"
"1 - Bid option","moriga","earthbound","","$186.0","(None)"
"1 - Bid option","butch","earthbound","","$100.0","(None)"
"1 - Bid option","lotte","earthbound","","$11.0","(None)"
"1 - Bid option","blue","earthbound","","$5.0","(None)"
"0 - Bid War","play blast corps (already played, do not donate for this)","final fantasy vii part 2","","$85.07","(None)"
"0 - Bid War","pokemon game choice","pokemon red or blue","","$505.02","(None)"
"1 - Bid option","blue","pokemon red or blue","","$254.0","(None)"
"1 - Bid option","red","pokemon red or blue","","$251.0","(None)"
"0 - Bid War","poo name","earthbound","5 Character Limit","$400.00","(None)"
"1 - Bid option","b-man","earthbound","","$355.0","(None)"
"1 - Bid option","mojo3","earthbound","","$30.0","(None)"
"1 - Bid option","no. 2","earthbound","","$15.0","(None)"
"0 - Bid War","pop:sot language","prince of persia: sands of time","","$364.00","(None)"
"1 - Bid option","french","prince of persia: sands of time","","$344.0","(None)"
"1 - Bid option","spanish","prince of persia: sands of time","","$20.0","(None)"
"1 - Bid option","english","prince of persia: sands of time","","$0.0","(None)"
"0 - Donation Goal","psi only","system shock 2","","$104.51","$100.00"
"0 - Bid War","red xiii name","final fantasy vii part 1","9 Character Limit","$356.00","(None)"
"1 - Bid option","cyanide","final fantasy vii part 1","","$185.0","(None)"
"1 - Bid option","finalhero","final fantasy vii part 1","","$131.0","(None)"
"1 - Bid option","meow mix","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","nanaki","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","raneine","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","repede","final fantasy vii part 1","","$10.0","(None)"
"0 - Bid War","rival name (7 character limit)","pokemon red or blue","Numbers not allowed, alphabet + signs only.","$851.00","(None)"
"1 - Bid option","venonat","pokemon red or blue","","$350.0","(None)"
"1 - Bid option","cancer","pokemon red or blue","","$321.0","(None)"
"1 - Bid option","lag","pokemon red or blue","","$105.0","(None)"
"1 - Bid option","smk","pokemon red or blue","","$65.0","(None)"
"1 - Bid option","dscord","pokemon red or blue","","$10.0","(None)"
"0 - Donation Goal","roll up the king","we &lt;3 katamari","","$317.50","$300.00"
"0 - Bid War","save the animals","super metroid","","$818.01","(None)"
"1 - Bid option","kill the animals","super metroid","","$466.0","(None)"
"1 - Bid option","save the animals","super metroid","","$352.0","(None)"
"0 - Donation Goal","sing the theme song","pokemon red or blue","","$161.00","$151.00"
"0 - Bid War","smrpg file name","super mario rpg","","$385.01","(None)"
"1 - Bid option","cbx","super mario rpg","","$180.0","(None)"
"1 - Bid option","lunk","super mario rpg","","$130.0","(None)"
"1 - Bid option","elive","super mario rpg","","$60.0","(None)"
"1 - Bid option","sweden","super mario rpg","","$10.0","(None)"
"1 - Bid option","frezy","super mario rpg","","$5.0","(None)"
"1 - Bid option","france","super mario rpg","","$0.0","(None)"
"0 - Bid War","song choice for final stage","we &lt;3 katamari","Youtube links for all availiable songs if you need to listen to decide are in this post:","$248.00","(None)"
"1 - Bid option","everlasting love","we &lt;3 katamari","","$161.0","(None)"
"1 - Bid option","kuru kuru rock","we &lt;3 katamari","","$21.0","(None)"
"1 - Bid option","disco prince","we &lt;3 katamari","","$16.0","(None)"
"1 - Bid option","baby universe","we &lt;3 katamari","","$13.0","(None)"
"1 - Bid option","houston","we &lt;3 katamari","","$11.0","(None)"
"1 - Bid option","katamari on the rocks (arrangement)","we &lt;3 katamari","","$11.0","(None)"
"1 - Bid option","katamari on the swing","we &lt;3 katamari","","$11.0","(None)"
"1 - Bid option","angel rain","we &lt;3 katamari","","$1.0","(None)"
"1 - Bid option","bluffing damacy","we &lt;3 katamari","","$1.0","(None)"
"1 - Bid option","katamari holiday","we &lt;3 katamari","","$1.0","(None)"
"1 - Bid option","sunbaked savanna","we &lt;3 katamari","","$1.0","(None)"
"0 - Bid War","sotn character choice","castlevania: symphony of the night","","$1,128.95","(None)"
"1 - Bid option","richter","castlevania: symphony of the night","","$663.9","(None)"
"1 - Bid option","alucard","castlevania: symphony of the night","","$465.0","(None)"
"0 - Bid War","special surprise pokemon name","pokemon red or blue","","$5.00","(None)"
"1 - Bid option","shotgun","pokemon red or blue","","$5.0","(None)"
"0 - Bid War","squirtle name (10 character limit)","pokemon red or blue","","$367.25","(None)"
"1 - Bid option","bilt","pokemon red or blue","","$148.0","(None)"
"1 - Bid option","bahamut","pokemon red or blue","","$129.2","(None)"
"1 - Bid option","malkovich","pokemon red or blue","","$90.0","(None)"
"0 - Bid War","sunset character choice","sunset riders","","$300.00","(None)"
"1 - Bid option","cormano (shotgun)","sunset riders","","$295.0","(None)"
"1 - Bid option","billy (pistols)","sunset riders","","$5.0","(None)"
"1 - Bid option","bob (shotgun)","sunset riders","","$0.0","(None)"
"1 - Bid option","steve (pistols)","sunset riders","","$0.0","(None)"
"0 - Donation Goal","theseawolf to play demon&#39;s crest (time permitting)","final fantasy vii part 2","","$275.00","$200.00"
"0 - Bid War","tifa name","final fantasy vii part 1","9 Character Limit","$9,769.86","(None)"
"1 - Bid option","poxnor","final fantasy vii part 1","","$5,927.7","(None)"
"1 - Bid option","esports (all caps)","final fantasy vii part 1","","$3,807.0","(None)"
"1 - Bid option","slappy","final fantasy vii part 1","","$25.0","(None)"
"1 - Bid option","denied","final fantasy vii part 1","","$10.0","(None)"
"0 - Bid War","trainer name (7 character limit)","pokemon red or blue","Numbers not allowed, alphabet + signs only.","$811.39","(None)"
"1 - Bid option","green","pokemon red or blue","","$301.1","(None)"
"1 - Bid option","sda","pokemon red or blue","","$210.0","(None)"
"1 - Bid option","pinkie","pokemon red or blue","","$85.0","(None)"
"1 - Bid option","engmike","pokemon red or blue","","$75.0","(None)"
"1 - Bid option","nasir","pokemon red or blue","","$40.0","(None)"
"1 - Bid option","rane","pokemon red or blue","","$40.0","(None)"
"1 - Bid option","flutter","pokemon red or blue","","$25.0","(None)"
"1 - Bid option","trihex","pokemon red or blue","","$10.2","(None)"
"1 - Bid option","rbdash","pokemon red or blue","","$10.0","(None)"
"1 - Bid option","apljack","pokemon red or blue","","$5.0","(None)"
"1 - Bid option","rarity","pokemon red or blue","","$5.0","(None)"
"1 - Bid option","sparkle","pokemon red or blue","","$5.0","(None)"
