"Type","Incentive","Game","Description","Amount","Goal"
"0 - Bid War","Filename Choice","The Legend of Zelda: Ocarina of Time 3D","Choose the Ocarina of Time 3D Filename. 8 characters, letters and numbers.","$1,629.42","(None)"
"1 - Bid option","Germench","The Legend of Zelda: Ocarina of Time 3D","","$467.0","(None)"
"1 - Bid option","warmham","The Legend of Zelda: Ocarina of Time 3D","","$465.0","(None)"
"1 - Bid option","Zelda","The Legend of Zelda: Ocarina of Time 3D","","$165.0","(None)"
"1 - Bid option","DELETED","The Legend of Zelda: Ocarina of Time 3D","","$85.0","(None)"
"1 - Bid option","Songbird","The Legend of Zelda: Ocarina of Time 3D","","$75.0","(None)"
"1 - Bid option","Lint","The Legend of Zelda: Ocarina of Time 3D","","$70.0","(None)"
"1 - Bid option","Lonk","The Legend of Zelda: Ocarina of Time 3D","","$45.0","(None)"
"1 - Bid option","Robbie","The Legend of Zelda: Ocarina of Time 3D","","$35.0","(None)"
"1 - Bid option","90s Kid","The Legend of Zelda: Ocarina of Time 3D","","$20.0","(None)"
"1 - Bid option","FisherC.","The Legend of Zelda: Ocarina of Time 3D","","$20.0","(None)"
"1 - Bid option","Suloy21","The Legend of Zelda: Ocarina of Time 3D","","$16.0","(None)"
"1 - Bid option","GOAT","The Legend of Zelda: Ocarina of Time 3D","","$10.0","(None)"
"1 - Bid option","Grandma","The Legend of Zelda: Ocarina of Time 3D","","$10.0","(None)"
"0 - Donation Goal","Glitch Exhibition","Borderlands 2","Shockwve and Amyrlinn will show off some amusing glitches after the Borderlands 2 run.","$3,032.06","$3,000.00"
"0 - Donation Goal","Help out Face McShooty","Borderlands 2","Face McShooty needs our help with a certain quest. Donate to help him out!","$3,023.02","$3,000.00"
"0 - Donation Goal","Watch the Milkman cutscene","Psychonauts","If you haven&#39;t experienced the joy that is the Milkman, this one&#39;s for you.","$5,050.68","$5,000.00"
"0 - Bid War","Armour Colour","Shovel Knight","Choose the colour of the armour that Shovel Knight will be wearing.","$1,156.52","(None)"
"1 - Bid option","Blue Armour","Shovel Knight","","$485.6","(None)"
"1 - Bid option","Purple Armour","Shovel Knight","","$447.5","(None)"
"1 - Bid option","Red Armour","Shovel Knight","","$133.3","(None)"
"1 - Bid option","Green Armour","Shovel Knight","","$90.0","(None)"
"0 - Bid War","Determine the Knight&#39;s Fate","Shovel Knight","Decide whether we save or kill the knights at the end of the game.","$3,774.17","(None)"
"1 - Bid option","Save the Knights","Shovel Knight","","$2,623.1","(None)"
"1 - Bid option","Kill the Knights","Shovel Knight","","$1,151.0","(None)"
"0 - Bid War","Filename Choice","Shovel Knight","Choose the filename used for the Shovel Knight run. 9 characters.","$3,041.88","(None)"
"1 - Bid option","Brownman","Shovel Knight","","$1,332.6","(None)"
