"Type","Incentive","Game","Description","Amount","Goal"
"1 - Bid option","Bonesaw","Shovel Knight","","$1,195.6","(None)"
"1 - Bid option","Schaufelritter","Shovel Knight","","$250.0","(None)"
"1 - Bid option","Dadzal","Shovel Knight","","$130.0","(None)"
"1 - Bid option","BlueMan","Shovel Knight","","$35.0","(None)"
"1 - Bid option","TheBurp","Shovel Knight","","$20.0","(None)"
"1 - Bid option","The Undertaker","Shovel Knight","","$20.0","(None)"
"1 - Bid option","DonutDawg","Shovel Knight","","$7.5","(None)"
"0 - Bid War","Decide the fate of the Astronauts.","The Turing Test","Will they live? Will they die? You decide!","$1,680.60","(None)"
"1 - Bid option","Save the Astronauts","The Turing Test","","$991.0","(None)"
"1 - Bid option","Kill the Astronauts","The Turing Test","","$689.6","(None)"
"0 - Donation Goal","Save Mr. Pancakes!","Valdis Story: Abyssal City","Save Mr. Pancakes! He&#39;s a magical talking dog with a top hat.","$2,184.86","$2,000.00"
"0 - Donation Goal","Additional Any% run","Salt and Sanctuary","Grimelios will do an Any% run after his All Bosses run.","$3,000.00","$3,000.00"
"0 - Bid War","Filename Choice","Salt and Sanctuary","Choose the filename used in the Salt and Sanctuary run. 16 characters, letters and spaces.","$2,703.50","(None)"
"1 - Bid option","WeBringYouLeSalt","Salt and Sanctuary","","$1,198.5","(None)"
"1 - Bid option","PJSalt","Salt and Sanctuary","","$934.0",""
"1 - Bid option","@willoneill","Salt and Sanctuary","","$266.0","(None)"
"0 - Bid War","Ending Choice","Magic Sword","Choose the ending for the Magic Sword run.","$470.00","(None)"
"1 - Bid option","Good Ending","Magic Sword","","$265.0","(None)"
"1 - Bid option","Bad Ending","Magic Sword","","$205.0","(None)"
"0 - Donation Goal","Mirror Mode","Battle Clash","SCXCR will complete the first three stages of the game using a mirror instead of aiming at the TV.","$2,509.77","$2,500.00"
"0 - Bid War","Choose the Monkey","Super Monkey Ball Adventure","Choose between Aiai, Baby, Meemee and Gongon for the Super Monkey Ball Adventure run.","$678.77","(None)"
"1 - Bid option","Play as Baby","Super Monkey Ball Adventure","","$329.4","(None)"
"1 - Bid option","Play as Gongon","Super Monkey Ball Adventure","","$136.0","(None)"
"1 - Bid option","Play as Aiai","Super Monkey Ball Adventure","","$133.3","(None)"
"1 - Bid option","Play as Meemee","Super Monkey Ball Adventure","","$80.0","(None)"
"0 - Bid War","Castform Name","Pok\xc3\xa9mon Emerald","Choose the name of the Castform used in the Pok\xc3\xa9mon Emerald run. 10 characters.","$5,547.69","(None)"
"1 - Bid option","Nebby","Pok\xc3\xa9mon Emerald","","$2,760.0","(None)"
"1 - Bid option","Poledoo","Pok\xc3\xa9mon Emerald","","$1,315.0","(None)"
"1 - Bid option","Duwang","Pok\xc3\xa9mon Emerald","","$995.6","(None)"
"1 - Bid option","Lakitu","Pok\xc3\xa9mon Emerald","","$141.0","(None)"
"1 - Bid option","PerdHapley","Pok\xc3\xa9mon Emerald","","$90.0","(None)"
"1 - Bid option","Madoka","Pok\xc3\xa9mon Emerald","","$84.0","(None)"
"1 - Bid option","Drop Top","Pok\xc3\xa9mon Emerald","","$55.0","(None)"
"1 - Bid option","Splotch","Pok\xc3\xa9mon Emerald","","$40.0","(None)"
"1 - Bid option","DELETE","Pok\xc3\xa9mon Emerald","","$32.0","(None)"
"1 - Bid option","Gooby","Pok\xc3\xa9mon Emerald","","$20.0","(None)"
"1 - Bid option","Eekcast","Pok\xc3\xa9mon Emerald","","$10.0","(None)"
"1 - Bid option","LurantisOP","Pok\xc3\xa9mon Emerald","","$5.0","(None)"
"0 - Bid War","Fly User Name","Pok\xc3\xa9mon Emerald","Choose the name for the fly user in the Pok\xc3\xa9mon Emerald run. 10 characters.","$4,452.43","(None)"
"1 - Bid option","Bronard","Pok\xc3\xa9mon Emerald","","$1,886.0","(None)"
"1 - Bid option","AJ Styles","Pok\xc3\xa9mon Emerald","","$1,793.2","(None)"
"1 - Bid option","GUZMA","Pok\xc3\xa9mon Emerald","","$710.1","(None)"
"1 - Bid option","ReallowBB","Pok\xc3\xa9mon Emerald","","$11.0","(None)"
"1 - Bid option","Magicarp","Pok\xc3\xa9mon Emerald","","$10.0","(None)"
"0 - Bid War","Mudkip Name","Pok\xc3\xa9mon Emerald","Choose the Mudkip&#39;s name in the Pok\xc3\xa9mon Emerald run. 10 characters. This bid war will be closed about an hour before the run starts.","$1,180.27","(None)"
"1 - Bid option","Waluigi","Pok\xc3\xa9mon Emerald","","$540.2","(None)"
"1 - Bid option","Calimero","Pok\xc3\xa9mon Emerald","","$250.0","(None)"
"1 - Bid option","DatBoy","Pok\xc3\xa9mon Emerald","","$220.0","(None)"
"1 - Bid option","Creatine","Pok\xc3\xa9mon Emerald","","$85.0","(None)"
"1 - Bid option","Quelmp","Pok\xc3\xa9mon Emerald","","$40.0","(None)"
"1 - Bid option","OBSOLETE","Pok\xc3\xa9mon Emerald","","$30.0","(None)"
"1 - Bid option","SadPanda","Pok\xc3\xa9mon Emerald","","$5.0","(None)"
"0 - Bid War","Rayquaza Name","Pok\xc3\xa9mon Emerald","Choose the name given to the Rayquaza in the Pok\xc3\xa9mon Emerald run. 10 characters.","$4,238.77","(None)"
"1 - Bid option","!luckypls","Pok\xc3\xa9mon Emerald","","$1,553.5","(None)"
"1 - Bid option","GreenSnek","Pok\xc3\xa9mon Emerald","","$1,137.2","(None)"
"1 - Bid option","Kukulkan","Pok\xc3\xa9mon Emerald","","$1,063.0","(None)"
"1 - Bid option","snek","Pok\xc3\xa9mon Emerald","","$145.0","(None)"
"1 - Bid option","HerdULiek?","Pok\xc3\xa9mon Emerald","","$110.0","(None)"
"1 - Bid option","GUZMA","Pok\xc3\xa9mon Emerald","","$73.0","(None)"
"1 - Bid option","WEEE WOOO","Pok\xc3\xa9mon Emerald","","$42.0","(None)"
"1 - Bid option","GrumpyCat","Pok\xc3\xa9mon Emerald","","$10.0","(None)"
"1 - Bid option","Golisopod","Pok\xc3\xa9mon Emerald","","$5.0","(None)"
"0 - Bid War","Trainer Name","Pok\xc3\xa9mon Emerald","Choose the trainer&#39;s name in the Pok\xc3\xa9mon Emerald run. 7 characters, letters only. This bid war will be closed about an hour before the run starts.","$1,748.20","(None)"
"1 - Bid option","Daisy","Pok\xc3\xa9mon Emerald","","$1,087.5","(None)"
"1 - Bid option","Guzma","Pok\xc3\xa9mon Emerald","","$288.7","(None)"
"1 - Bid option","Mufasa","Pok\xc3\xa9mon Emerald","","$85.0","(None)"
"1 - Bid option","memeBIG","Pok\xc3\xa9mon Emerald","","$35.0","(None)"
"1 - Bid option","Wolfe","Pok\xc3\xa9mon Emerald","","$30.0","(None)"
"1 - Bid option","TAA","Pok\xc3\xa9mon Emerald","","$10.0","(None)"
"1 - Bid option","Tony","Pok\xc3\xa9mon Emerald","","$10.0","(None)"
"0 - Bid War","Character Choice","Mickey&#39;s Dangerous Chase","Choose your protagonist for the Mickey&#39;s Dangerous Chase run!","$851.03","(None)"
"1 - Bid option","Minnie Mouse","Mickey&#39;s Dangerous Chase","","$494.0","(None)"
"1 - Bid option","Mickey Mouse","Mickey&#39;s Dangerous Chase","","$357.0","(None)"
"0 - Bid War","Character Choice","Intelligent Qube (Kurushi)","Choose the character played for the Intelligent Qube run.","$185.00","(None)"
"1 - Bid option","Play as Spike (the dog)","Intelligent Qube (Kurushi)","","$145.0","(None)"
"1 - Bid option","Play as Cynthia","Intelligent Qube (Kurushi)","","$20.0","(None)"
"1 - Bid option","Play as Elliot","Intelligent Qube (Kurushi)","","$20.0","(None)"
"0 - Donation Goal","Ending Cutscene","Intelligent Qube (Kurushi)","Watch the ending cutscene after the run.","$1,500.00","$1,500.00"
"0 - Bid War","Character Name","Road Trip Adventure","Name the main character for the Road Trip Adventure run. 9 characters.","$3,734.00","(None)"
"1 - Bid option","GASHU","Road Trip Adventure","","$1,900.0","(None)"
"1 - Bid option","GRAND DAD","Road Trip Adventure","","$1,769.0","(None)"
"1 - Bid option","MEME","Road Trip Adventure","","$30.0","(None)"
"1 - Bid option","Bonesaw","Road Trip Adventure","","$10.0","(None)"
"0 - Bid War","Choose the Car Colour","Road Trip Adventure","Choose the car colour for the Road Trip Adventure run.","$370.01","(None)"
"1 - Bid option","Purple","Road Trip Adventure","","$275.0","(None)"
"1 - Bid option","Cyan","Road Trip Adventure","","$50.0","(None)"
"1 - Bid option","Golden Yellow","Road Trip Adventure","","$20.0","(None)"
"1 - Bid option","Pink","Road Trip Adventure","","$15.0","(None)"
"1 - Bid option","White","Road Trip Adventure","","$10.0","(None)"
"0 - Bid War","Currency Name","Road Trip Adventure","Name the currency used in the Road Trip Adventure run. 4 characters.","$1,567.29","(None)"
"1 - Bid option","memes","Road Trip Adventure","","$614.6","(None)"
"1 - Bid option","Du Hast","Road Trip Adventure","","$467.4","(None)"
"1 - Bid option","Arby","Road Trip Adventure","","$299.0","(None)"
"1 - Bid option","bits","Road Trip Adventure","","$126.1","(None)"
"1 - Bid option","Jugs","Road Trip Adventure","","$25.0","(None)"
"1 - Bid option","DOSH","Road Trip Adventure","","$20.0","(None)"
"1 - Bid option","FISH","Road Trip Adventure","","$10.0","(None)"
"0 - Bid War","Choose the Player Tag","Super Smash Bros. Melee","The player has a 4 character tag over their heads during the game. You choose what it is!","$1,549.22","(None)"
"1 - Bid option","PPMD","Super Smash Bros. Melee","","$851.4","(None)"
"1 - Bid option","MEME","Super Smash Bros. Melee","","$330.0","(None)"
"1 - Bid option","TINY RICK","Super Smash Bros. Melee","","$125.0","(None)"
"1 - Bid option","SWAG","Super Smash Bros. Melee","","$95.0","(None)"
"1 - Bid option","RXYN","Super Smash Bros. Melee","","$50.0","(None)"
"1 - Bid option","hiss","Super Smash Bros. Melee","","$10.0","(None)"
"1 - Bid option","HYPE","Super Smash Bros. Melee","","$10.0","(None)"
"1 - Bid option","MARK","Super Smash Bros. Melee","","$10.0","(None)"
"1 - Bid option","P:M","Super Smash Bros. Melee","","$10.0","(None)"
"0 - Bid War","Character Name","Fallout: New Vegas","Name the player character for the Fallout: New Vegas run. 17 characters: letters, numbers and special characters.","$5,229.40","(None)"
"1 - Bid option","The Final Pam","Fallout: New Vegas","","$2,383.2","(None)"
"1 - Bid option","Thick McRunfast","Fallout: New Vegas","","$2,026.0","(None)"
"1 - Bid option","GetSwchifty","Fallout: New Vegas","","$265.0","(None)"
"1 - Bid option","Confuzzled","Fallout: New Vegas","","$130.1","(None)"
"1 - Bid option","Shooty Mcface","Fallout: New Vegas","","$107.0","(None)"
"1 - Bid option","Stabby Raoul","Fallout: New Vegas","","$88.0","(None)"
"1 - Bid option","Mailman","Fallout: New Vegas","","$30.0","(None)"
"1 - Bid option","Cpt. Wigsplitter","Fallout: New Vegas","","$25.0","(None)"
"1 - Bid option","Dr Whale Meat","Fallout: New Vegas","","$25.0","(None)"
"1 - Bid option","NoblestSteed","Fallout: New Vegas","","$20.0","(None)"
"1 - Bid option","The Milkman","Fallout: New Vegas","","$15.0","(None)"
"1 - Bid option","VonBoff","Fallout: New Vegas","","$10.0","(None)"
"1 - Bid option","Robbie Rotten","Fallout: New Vegas","","$5.0","(None)"
"1 - Bid option","3daaawg!","Fallout: New Vegas","","$1.0","(None)"
"0 - Donation Goal","Throw General Oliver off the Dam","Fallout: New Vegas","This guy is a Grade A jerk. Let&#39;s give him an express trip to the ground.","$5,041.00","$5,000.00"
"0 - Bid War","Submit your &#39;Cool Saying&#39;","Descent II","Getting the highscore will allow a &#39;cool saying&#39; to appear at the end of the run, chosen by you!","$2,228.94","(None)"
"1 - Bid option","Free Anime","Descent II","","$491.6","(None)"
"1 - Bid option","That has never happened before","Descent II","","$436.0","(None)"
"1 - Bid option","We Are Number One","Descent II","","$360.7","(None)"
"1 - Bid option","I&#39;m the Pan Now! Bangarang!","Descent II","","$240.0","(None)"
"1 - Bid option","&quot;But our princess is in another asteroid!&quot;","Descent II","","$110.0","(None)"
"1 - Bid option","It is true! All of it!","Descent II","","$110.0","(None)"
"1 - Bid option","Ocean Man, Take Me By the Hand","Descent II","","$60.5","(None)"
"1 - Bid option","I am the Milkman! My milk is delicious!","Descent II","","$40.0","(None)"
"1 - Bid option","Todokete, Setsunasa ni wa","Descent II","","$35.0","(None)"
"1 - Bid option","ALL UR BASE ARE BELONG 2 US","Descent II","","$35.0","(None)"
"1 - Bid option","Who needs Guidebot?","Descent II","","$5.0","(None)"
"1 - Bid option","ALL YOUR BASE ATE","Descent II","","$0.0","(None)"
"0 - Donation Goal","Bonus Warps Race","Super Mario Bros.","Andrew G, darbian, and Kosmicd12 will follow up their warpless race with a warps race of Super Mario Bros., aiming to complete the game in under five minutes!","$10,150.00","$10,000.00"
"0 - Bid War","Character Names","Final Fantasy","Choose the character names of the party in the Final Fantasy run. 4 characters per name, top four character names will be used.","$10,491.05","(None)"
"1 - Bid option","MrMV","Final Fantasy","","$3,145.0","(None)"
"1 - Bid option","YETI","Final Fantasy","","$2,425.0","(None)"
"1 - Bid option","Butz","Final Fantasy","","$1,381.0","(None)"
"1 - Bid option","Todd","Final Fantasy","","$565.0","(None)"
"1 - Bid option","DAN","Final Fantasy","","$552.5","(None)"
"1 - Bid option","Pork","Final Fantasy","","$450.0","(None)"
"1 - Bid option","Drew","Final Fantasy","","$420.0","(None)"
"1 - Bid option","Tina","Final Fantasy","","$210.0","(None)"
"1 - Bid option","Kairi","Final Fantasy","","$202.5","(None)"
"1 - Bid option","FUZZ","Final Fantasy","","$180.0","(None)"
"1 - Bid option","Anonymous","Final Fantasy","","$150.0","(None)"
"1 - Bid option","ODog","Final Fantasy","","$100.0","(None)"
"1 - Bid option","Pangur","Final Fantasy","","$100.0","(None)"
"1 - Bid option","PIE","Final Fantasy","","$85.0","(None)"
"1 - Bid option","WAAA","Final Fantasy","","$75.0","(None)"
"1 - Bid option","CAKE","Final Fantasy","","$70.0","(None)"
"1 - Bid option","Hype","Final Fantasy","","$60.0","(None)"
"1 - Bid option","Trtl","Final Fantasy","","$50.0","(None)"
"1 - Bid option","CID","Final Fantasy","","$40.0","(None)"
"1 - Bid option","K2S0","Final Fantasy","","$40.0","(None)"
"1 - Bid option","BIL","Final Fantasy","","$35.0","(None)"
"1 - Bid option","Corn","Final Fantasy","","$35.0","(None)"
"1 - Bid option","ACE","Final Fantasy","","$25.0","(None)"
"1 - Bid option","PuXL","Final Fantasy","","$25.0","(None)"
"1 - Bid option","Boland","Final Fantasy","","$20.0","(None)"
"1 - Bid option","DogZ","Final Fantasy","","$20.0","(None)"
"1 - Bid option","FRON","Final Fantasy","","$20.0","(None)"
"1 - Bid option","LOOP","Final Fantasy","","$10.0","(None)"
"0 - Donation Goal","Fight Warmech","Final Fantasy","Fight the hidden boss in Final Fantasy, Warmech!","$10,026.87","$10,000.00"
"0 - Donation Goal","Visit Erdrick&#39;s Grave","Final Fantasy","Take a pilgrimage to the grave of one of the Dragon Quest/Dragon Warrior characters, because game series rivalry is great.","$2,500.00","$2,500.00"
"0 - Donation Goal","Defeat All Bosses","The Krion Conquest","Donate to have badbrakes defeat every boss in the Krion Conquest run.","$3,015.00","$3,000.00"
"0 - Bid War","Name the Character","River City Ransom","Name the character used for the run.","$2,552.50","(None)"
"1 - Bid option","Abitbol","River City Ransom","","$962.0","(None)"
"1 - Bid option","Rabbage","River City Ransom","","$810.0","(None)"
"1 - Bid option","Kasagi","River City Ransom","","$210.0","(None)"
"1 - Bid option","Kunio","River City Ransom","","$205.5","(None)"
"1 - Bid option","MR.T","River City Ransom","","$195.0","(None)"
"1 - Bid option","Bimmy","River City Ransom","","$105.0","(None)"
"1 - Bid option","GoofPlz","River City Ransom","","$20.0","(None)"
"1 - Bid option","Kuwabara","River City Ransom","","$15.0","(None)"
"0 - Donation Goal","Rescue Cyndi","River City Ransom","Cyndi has been kidnapped and taken to the River City High School. She needs rescuing!","$2,030.00","$2,000.00"
"0 - Donation Goal","Sing the Theme Song","The Addams Family","The audience will sing the Addams Family theme song during the run.","$1,501.00","$1,500.00"
"0 - Donation Goal","All Bosses Run","Hyper Light Drifter","If met, MunchaKoopas will do a New Game+ All Bosses run instead of the New Game+ Any% run.","$5,056.00","$5,000.00"
"0 - Bid War","Choose the Category","Ori and the Blind Forest: Definitive Edition","Choose between sigmasin&#39;s OREO (Ori Reverse Event Order) run, and Vulajin&#39;s 0XP run.","$10,045.53","(None)"
"1 - Bid option","OREO run","Ori and the Blind Forest: Definitive Edition","","$5,348.0","(None)"
"1 - Bid option","0XP run","Ori and the Blind Forest: Definitive Edition","","$4,697.5","(None)"
"0 - Donation Goal","Fight Proto Man","Mega Man Network Transmission","Defeat the optional boss: Proto Man!","$5,087.00","$5,000.00"
"0 - Donation Goal","Maniac Difficulty","Mighty No. 9","GreenZSaber will play on Maniac difficulty. One hit = dead.","$9,023.34","$9,000.00"
"0 - Donation Goal","Ray DLC Stage","Mighty No. 9","Play through the Ray DLC stage.","$3,032.65","$3,000.00"
"0 - Bid War","Soundtrack Choice","Mighty No. 9","Which soundtrack would you prefer?","$1,000.21","(None)"
"1 - Bid option","8bit Soundtrack","Mighty No. 9","","$866.2","(None)"
"1 - Bid option","Default Soundtrack","Mighty No. 9","","$134.0","(None)"
"0 - Donation Goal","Watch the Cutscenes","Timecop","Timecop&#39;s cutscenes are... special. Donate for the full Timecop experience.","$2,029.55","$2,004.00"
"0 - Donation Goal","Sing One Two Freddy&#39;s Coming For You","A Nightmare on Elm Street","The runners will sing &#39;One, Two, Freddy&#39;s Coming For You&#39;.","$1,258.32","$1,234.00"
"0 - Bid War","Name the Puppies","WolfQuest","Choose names for the puppies in the WolfQuest run. The highest donated named puppy is not drowned during the run. 8 characters.","$9,405.39","(None)"
"1 - Bid option"," Garcymor","WolfQuest","","$2,656.0","(None)"
"1 - Bid option","Cadejo","WolfQuest","","$2,583.6","(None)"
"1 - Bid option","2016","WolfQuest","","$2,312.7","(None)"
"1 - Bid option","Pepis","WolfQuest","","$385.0","(None)"
"1 - Bid option","Sif","WolfQuest","","$335.0","(None)"
"1 - Bid option","Eoth","WolfQuest","","$200.0","(None)"
"1 - Bid option","Earfolds","WolfQuest","","$180.0","(None)"
"1 - Bid option","SeanBean","WolfQuest","","$170.0","(None)"
"1 - Bid option","FrankerZ","WolfQuest","","$158.5","(None)"
"1 - Bid option","Katia","WolfQuest","","$120.0","(None)"
"1 - Bid option","0iNKeRs","WolfQuest","","$90.0","(None)"
"1 - Bid option","Animals","WolfQuest","","$49.4","(None)"
"1 - Bid option","Flex","WolfQuest","","$40.0","(None)"
"1 - Bid option","RSorrows","WolfQuest","","$35.0","(None)"
"1 - Bid option","Bubba","WolfQuest","","$30.0","(None)"
"1 - Bid option","Moon Moon","WolfQuest","","$25.0","(None)"
"1 - Bid option","Etecoons","WolfQuest","","$20.0","(None)"
"1 - Bid option","Casey","WolfQuest","","$10.0","(None)"
"1 - Bid option","Dachora","WolfQuest","","$5.0","(None)"
"0 - Donation Goal","Additional Any% NG+ run","Cornerstone: The Song of Tyrim","DrTChops will perform an Any% NG+ run after his No Credits Skip run.","$3,017.68","$3,000.00"
"0 - Donation Goal","All Campaigns Run","Left 4 Dead 1","The Master and mr.deagle will go even further beyond and complete the additional DLC campaigns.","$10,000.00","$10,000.00"
"0 - Bid War","Whom to Sacrifice?","Left 4 Dead 1","During the course of one of the Left 4 Dead campaigns, we have to sacrifice one member of the party. Who should it be?","$1,302.05","(None)"
"1 - Bid option","Francis","Left 4 Dead 1","","$808.2","(None)"
"1 - Bid option","Bill","Left 4 Dead 1","","$386.0","(None)"
"1 - Bid option","Zoey","Left 4 Dead 1","","$85.0","(None)"
"1 - Bid option","Louis","Left 4 Dead 1","","$22.7","(None)"
"0 - Bid War","Filename Choice","Trauma Center: New Blood","Choose the filename for the Trauma Center: New Blood run. 8 characters, letters and numbers.","$2,026.13","(None)"
"1 - Bid option","DrYsang","Trauma Center: New Blood","","$691.5","(None)"
"1 - Bid option","ZoidBerg","Trauma Center: New Blood","","$290.0","(None)"
"1 - Bid option","DrTraksut","Trauma Center: New Blood","","$227.2","(None)"
"1 - Bid option","Flatline","Trauma Center: New Blood","","$206.0","(None)"
"1 - Bid option","DrWho","Trauma Center: New Blood","","$194.7","(None)"
"1 - Bid option","DrAcula","Trauma Center: New Blood","","$126.6","(None)"
"1 - Bid option","Tux Tito","Trauma Center: New Blood","","$95.0","(None)"
"1 - Bid option","DrFail","Trauma Center: New Blood","","$60.0","(None)"
"1 - Bid option","Robbie","Trauma Center: New Blood","","$25.0","(None)"
"1 - Bid option","Wright","Trauma Center: New Blood","","$20.0","(None)"
"1 - Bid option","DrSwitch","Trauma Center: New Blood","","$10.0","(None)"
"0 - Bid War","Story Choice","Sonic Adventure 2: Battle","Choose between the Hero Story and the Dark Story.","$7,757.43","(None)"
"1 - Bid option","Play the Dark Story","Sonic Adventure 2: Battle","","$4,227.3","(None)"
"1 - Bid option","Play the Hero Story","Sonic Adventure 2: Battle","","$3,530.0","(None)"
"0 - Bid War","Filename Choice","The Legend of Zelda: A Link to the Past","Choose the filenames used in the Link to the Past race! Four players, 4 characters. (three slots, 4 characters per slot)","$12,780.69","(None)"
"1 - Bid option","Announcer&#39;s Choice!","The Legend of Zelda: A Link to the Past","","$3,731.5","(None)"
"1 - Bid option","CENA","The Legend of Zelda: A Link to the Past","","$3,145.2","(None)"
"1 - Bid option","Wheezy","The Legend of Zelda: A Link to the Past","","$1,236.5","(None)"
"1 - Bid option","Zelda","The Legend of Zelda: A Link to the Past","","$570.2","(None)"
"1 - Bid option","EROR","The Legend of Zelda: A Link to the Past","","$537.7","(None)"
"1 - Bid option","HAIL D.CH OCBO","The Legend of Zelda: A Link to the Past","","$527.4","(None)"
"1 - Bid option","BWAA","The Legend of Zelda: A Link to the Past","","$395.0","(None)"
"1 - Bid option","HOBO","The Legend of Zelda: A Link to the Past","","$390.0","(None)"
"1 - Bid option","DONGLE","The Legend of Zelda: A Link to the Past","","$111.0","(None)"
"1 - Bid option","Silver","The Legend of Zelda: A Link to the Past","","$110.0","(None)"
"1 - Bid option","LANK","The Legend of Zelda: A Link to the Past","","$105.0","(None)"
"1 - Bid option","Jack","The Legend of Zelda: A Link to the Past","","$100.0","(None)"
"1 - Bid option","MEOW","The Legend of Zelda: A Link to the Past","","$65.0","(None)"
"1 - Bid option","Blue","The Legend of Zelda: A Link to the Past","","$60.0","(None)"
"1 - Bid option","Evilcleric","The Legend of Zelda: A Link to the Past","","$30.0","(None)"
"1 - Bid option","ST-ETIENNE","The Legend of Zelda: A Link to the Past","","$30.0","(None)"
"1 - Bid option","NEBS","The Legend of Zelda: A Link to the Past","","$16.0","(None)"
"1 - Bid option","Ittl","The Legend of Zelda: A Link to the Past","","$10.0","(None)"
"1 - Bid option","lcc","The Legend of Zelda: A Link to the Past","","$10.0","(None)"
"0 - Donation Goal","Let Flavio Tag Along","Paper Mario: The Thousand-Year Door","Through the use of a glitch, Flavio will accompany Mario for the final hour of the run.","$10,062.12","$10,000.00"
"0 - Bid War","Soundtrack Choice","La-Mulana Remake","Choose the soundtrack for the La-Mulana remake run!","$2,316.41","(None)"
"1 - Bid option","Remake Soundtrack","La-Mulana Remake","","$1,525.4","(None)"
"1 - Bid option","Original Soundtrack","La-Mulana Remake","","$791.0","(None)"
"0 - Bid War","Language Choice","Furi","Choose the language for the Furi run. Full audio + subtitles.","$2,212.11","(None)"
"1 - Bid option","Play in French","Furi","","$1,527.1","(None)"
"1 - Bid option","Play in English","Furi","","$550.0","(None)"
"1 - Bid option","Play in Japanese","Furi","","$135.0","(None)"
"0 - Donation Goal","Play Super-Pluto","Flywrench","killingpepsi will play the super hard, Kaizo style level Super-Pluto.","$5,018.32","$5,000.00"
"0 - Donation Goal","100% Run","Star Wars: Shadows of the Empire","glasnonck will do a full challenge point run instead of the any% run.","$5,114.03","$5,000.00"
"0 - Donation Goal","Bonus Song Performance","Super Star Wars: Return of the Jedi","Striker will sing his speedrun song &quot;All I Wanna Do Is Go Fast&quot; after his Return of the Jedi run.","$5,080.00","$5,000.00"
"0 - Donation Goal","Glitch Exhibition","Sly Cooper and the Thievius Raccoonus","tHmCS will show off some cool glitches after his run.","$7,030.00","$7,000.00"
"0 - Donation Goal","Glitch Exhibition","Grand Theft Auto: Vice City","KZ_FREW will show off some interesting glitches after his Vice City run.","$7,062.59","$7,000.00"
"0 - Bid War","Filename Choice","The Legend of Zelda: The Minish Cap","Choose the filename used for The Minish Cap run. 6 characters, letters and kana.","$4,950.03","(None)"
"1 - Bid option","BURGER","The Legend of Zelda: The Minish Cap","","$1,292.4","(None)"
"1 - Bid option","Navi","The Legend of Zelda: The Minish Cap","","$1,000.0","(None)"
"1 - Bid option","HOBO","The Legend of Zelda: The Minish Cap","","$875.5","(None)"
"1 - Bid option","\xe3\x82\xac\xe3\x83\xbc\xe3\x83\xab\xe3\x83\xaa\xe3\x83\xb3\xe3\x82\xaf","The Legend of Zelda: The Minish Cap","","$431.8","(None)"
"1 - Bid option","Pluto","The Legend of Zelda: The Minish Cap","","$375.0","(None)"
